Emblem_ID,Factory_CName,Factory_Address,Factory_Tel,Factory_Fax,Factory_Director,Material_Name,PType_Name,Product_Name
135710,福國冷凍股份有限公司,宜蘭縣五結鄉利工一路二段56號,03-9908319,03-9908721,,水產加工品,冷凍水產品,冷凍裹粉水鯊
010745,黑橋牌企業股份有限公司,台南市安平工業區中華西路一段103號,06-2614186,06-2630178,陳春利,肉品,中式香腸,五香熟香腸
022462,奇美食品股份有限公司,高雄市湖內區公館里中山路2段51號,07-6993901,07-6993020,宋光夫,冷凍食品,調理冷凍食品-冷凍麵食類製品,冷凍精燉小肉燥包
136170,興得國際有限公司,高雄市茄萣區民有路51號,07-6986565,07-6986000,,水產加工品,冷凍水產品,冷凍六帶鰺魚(丁、片、塊)
026510,嘉楠食品工業股份有限公司,雲林縣元長鄉元長工業區興工街3號,05-7862888,05-7862999,陳建志,冷凍食品,調理冷凍食品-冷凍乳化肉製品類製品,冷凍肉羹
012903,東峰股份有限公司斗六廠,雲林縣斗六市榴中里復興路28號,05-5570757,05-5570753,,肉品,冷藏雞肉,冷藏雞肉
101812,福記冷凍食品股份有限公司(點心食品),高雄市路竹區中山路268號,07-6962329,07-6962046,林鳳春,點心食品,點心食品,醍醐大師辣味香鐵蛋(雞蛋)
018102,思牧企業股份有限公司內埔一廠,屏東縣內埔鄉豐田村延平路133號,08-7537910,08-7783339,李瑞德,肉品,冷凍豬肉,冷凍豬肉
018919,大潤發流通事業股份有限公司鳳山分公司,高雄市鳳山區文化路59號,07-7102999,,林弘斌,肉品,冷藏豬肉,冷藏豬肉
011514,新東陽股份有限公司大園廠,桃園市大園區大工路11號,03-3866317,03-3866370,麥寬成,肉品,中式香腸,ＱＱ香腸(蒜味) 
023628,金龍冠食品股份有限公司,嘉義縣民雄鄉民雄工業區中正路30號,05-2215388,05-2200141,鄭香蘭,冷凍食品,調理冷凍食品-冷凍中式菜餚類製品,冷凍肉圓妹
013405,味一食品有限公司屏南廠(肉品),屏東縣枋寮鄉東海村精進路35號,08-8662733,08-8666337,謝清銀,肉品,肉酥,味一寶寶豬肉鬆
014302,峰榮食品工業股份有限公司,屏東市龍華里龍華路555號,08-7537901,08-7530186,林秀梅,肉品,冷凍豬肉,冷凍豬肉
014204,,,,,,肉品,冷凍雞肉,冷凍雞肉
024601,強匠冷凍食品股份有限公司,屏東縣內埔鄉建國路16號,08-7780380,08-7780467,石造華,冷凍食品,調理冷凍食品-冷凍裹麵食品類製品,冷凍黑胡椒雞塊
140203,合隆毛廠股份有限公司,桃園市大園區和平西路2段112號,02-55818888,02-55828888,陳彥誠,羽絨,鵝絨,製品廠鵝絨：CAS台灣原產95%白鵝絨被
101110,宜蘭食品工業股份有限公司廣興廠,宜蘭縣冬山鄉廣興村廣興路680巷190號,03-9514457分機51,03-9514459,李玉生,點心食品,米果製品類,銀雪分享包(米果)
011802,誠昌實業股份有限公司,彰化縣秀水鄉彰水路二段90號,04-7696336,04-7692622,葉靜燕,肉品,冷凍豬肉,冷凍豬肉
133808,高雄市梓官區漁會,高雄市梓官區信柯村漁港二路32號,07-6176110,07-6176132,蕭清山,水產加工品,冷凍水產品,冷凍花枝條
017104,洽富實業股份有限公司,台中市梧棲區自立一街183號,04-26391021,04-26390031,,肉品,冷凍雞肉,冷凍雞肉
124504,富士鮮品股份有限公司-二廠,雲林縣斗南鎮小東里大同路563巷37號,05-5970661,,鄭嘉仁,生鮮截切蔬果,冷凍蔬菜類,冷凍青花菜
017802,嘉一香食品股份有限公司樹林廠,新北市樹林區俊安街43號,02-26894911,02-26895910,陳國訓,肉品,冷凍豬肉,冷凍豬肉
017813,嘉一香食品股份有限公司樹林廠,新北市樹林區俊安街43號,02-26894911,02-26895910,陳國訓,肉品,中式香腸,飛魚蛋香腸
135804,海冠有限公司,屏東縣東港鎮船頭里大同路296號,08-8335858,08-8310988,林韋宏,水產加工品,冷凍水產品,冷凍旗魚丁
011523,新東陽股份有限公司大園廠,桃園市大園區大工路11號,03-3866317,03-3866370,麥寬成,肉品,中式香腸,台灣黑豬肉蒜味香腸
121002,保證責任雲林縣漢光果菜生產合作社,雲林縣西螺鎮新安里振安路98號,05-5876789,05-5867789,廖丁川,生鮮截切蔬果,生鮮截切根莖類,生鮮截切根莖類
011536,新東陽股份有限公司大園廠,桃園市大園區大工路11號,03-3866317,03-3866370,麥寬成,肉品,中式香腸,100%無添加蒜味香腸
011603,台灣卜蜂企業股份有限公司,南投市南崗工業區工業東路17號,049-2255337,049-2255780,鄭武樾,肉品,冷藏雞肉,冷藏雞肉
013614,富統食品股份有限公司,屏東縣萬丹鄉泉順街439巷37號,08-7772747,08-7775440,黃美麗,肉品,乳化型西式香腸,富統小熱狗
012704, 宇台肉品股份有限公司,高雄市湖內區海山里和平路148巷57號,076993887,076995615,劉俊廷,肉品,冷凍雞肉,冷凍雞肉
132214,匯永實業股份有限公司(水產品),高雄市前鎮區新衙路296巷1-1號,07-8618686,07-8610770,朱挺玗,水產加工品,冷凍水產品,冷凍鮪魚排
018711,保億冷凍食品有限公司,屏東縣九如鄉玉泉村黃金路51號,08-7031616,08-7031699,蘇文旭,肉品,中式香腸,香腸
014705,台灣糖業股份有限公司畜殖事業部,台南市柳營區人和里義士路5段690號,06-6225509,06-6220290,謝明杉,肉品,中式香腸,原味香腸
019511,品冠現代畜產(股)有限公司,台中市西屯區林厝里5鄰安林路50-2號,04-24626828,04-24626808,,肉品,肉酥,養豬人家芝麻海苔純豬肉酥
028915,樂鮮企業有限公司,台南市仁德區文華路三段428巷92號,06-2702925,06-2701902,黃明珠,冷凍食品,調理冷凍食品-冷凍裹麵食品類製品,冷凍什錦蝦排
041102,宜蘭縣五結鄉農會,宜蘭縣五結鄉孝威路402號,03-9503190,03-9601536,游偉榛,食米,優良農產品良質米-白米,夢田越光米
120205,保證責任雲林縣新湖合作農場(生鮮截切蔬菜),雲林縣褒忠鄉新湖村復興路17-2號,05-6972425,05-6974949,陳清山,生鮮截切蔬果,生鮮截切花果類,生鮮截切花果類(小包裝)
